CIPDESC,national_median_earnings,national_median_debt,national_median_cost
"Arts, Entertainment, and Media Management",48767.0,25992.5,21708.0
Community/Environmental/Socially-Engaged Art,,,16868.5
"Crafts/Craft Design, Folk Art and Artisanry",39496.0,25060.0,24100.0
Dance,40844.5,25000.0,19401.5
Design and Applied Arts,52727.0,26791.0,20787.0
Drama/Theatre Arts and Stagecraft,40073.0,25000.0,20199.5
Film/Video and Photographic Arts,45152.0,25000.0,22515.0
Fine and Studio Arts,41549.0,25361.0,19676.0
Music,43388.0,26000.0,19780.0
"Visual and Performing Arts, General",41864.0,26000.0,20009.0
"Visual and Performing Arts, Other",48154.5,25500.0,22917.0
